time,duration_s,phase,show_this,click_this,say_this,proof_point,if_it_breaks
2:20,20,4 - RUN SUMMARY,KPI cards 3 and 4,Point at Value in review,"And the number a controller actually cares about: 12.9 lakh sitting in 17 exceptions. Not 17 rows to triage - 12.9 lakh of exposure, ranked.",Translating row counts into money is what separates a dashboard from a report.,-
2:40,25,5 - ACCURACY,The five score rings,"Point at match rate 88.3 percent, then achievable 100 percent","Two match rates, and only the second one is about the engine. 88.3 percent divides by all 60 invoices including the ones the generator deliberately left un-settleable, so it is capped below 100 percent by construction - comparing it to a 100 percent target measures my test fixture, not my matcher. Achievable match rate divides by the triangles that can close at all. That is 100 percent: the engine found everything findable.",Your strongest moment. You are volunteering the weakness of your own headline metric before anyone can ask. Judges reward that heavily.,-
3:05,20,5 - ACCURACY,Precision / recall / F1 rings,Point at precision 1.00,"Precision, recall, F1 - all 1.00, zero wrong, zero missed, scored against that emitted ground truth. And precision counts a match against a record with no true triangle as a false positive rather than skipping it, so fabricating a match for a deliberately un-settleable invoice costs me precision instead of being free.",Anyone can hit a 100 percent match rate by matching everything at low confidence. Precision scored this way is what makes the number un-gameable.,-
3:25,25,6 - ESCALATION,Pipeline flow diagram and tier funnel,Run your finger down the funnel: 106 / 4 / 0 / 0,"Here is the actual design. Four tiers, cheapest first, and every tier sees only what the tier before it declined. 117 records enter - 60 invoices against settlements, then 57 settlements against bank lines. Rule matching, exact ID or UTR overlap, took 106 of them in 1.4 milliseconds and passed 8 on. TF-IDF took 4. FAISS and the LLM tier saw the last 4 and took none. 100 percent of matches resolved on the two cheapest tiers, and 7 records survived all four.","The expensive tier stays cheap because it almost never runs. That is the entire economic argument, in one screen.",-
3:50,25,6 - ESCALATION,Switch to the pre-opened CSV tab,"Show STL-0001 merchant_ref RAZORP*UDAA001, then BNK-00001 narration RTGS-RAZORP*UDAA00","This is one of the four TF-IDF catches. The settlement ref is RAZORP*UDAA001. The bank narration is RTGS-RAZORP*UDAA00 - truncated, last character gone, and the UTR column is empty. Tier 1 has nothing to hook onto. Char n-gram TF-IDF still matches it at 0.89 confidence, because sub-word overlap survives a truncation that whole-word overlap does not.",One concrete record beats any amount of architecture talk. The single most memorable 25 seconds in the demo.,Cut this beat first if you are over time - the funnel already made the point.
4:15,15,6 - ESCALATION,"Back to the dashboard, the note under the funnel",Point at the note line,"Two properties make that escalation trustworthy rather than just plausible. Declining is free - a tier that scores a pair below its own bar leaves both records available to the next tier, so a rejection never starves the tiers behind it. And model output is untrusted - the LLM tier validates the id it gets back against the shortlist it actually offered, so a hallucinated id becomes a no-match, never a match pointing at a record that does not exist.",Hallucination-safety stated as a design property with a mechanism. A judge was going to ask - you just pre-answered it.,-
4:30,20,7 - EXCEPTIONS,Exception queue and the category legend pills,"Scroll to the queue, point at the top row STL-0006","Whatever survives all four tiers becomes a reasoned exception, not a forced guess. Ranked by value at risk, because review capacity is finite and the first row a controller sees should be the one worth the most. Top row: 2.36 lakh, settled by the gateway, not yet credited by the bank - and it names INV-006 as the related record, so the reviewer knows where to start.","Ranked by money, not by ID order, and every row carries the reason plus the nearest record considered. Say why.",-
4:50,15,7 - EXCEPTIONS,"Category filter, search box, download button","CLICK: Category multiselect, keep only Pending settlement. Then CLICK Download queue (CSV)","The category column exists because these are three different jobs. A pending settlement means wait and re-run. A short settlement means raise a dispute. An unidentified credit means go find out what this is. Making a human re-derive that triage from prose is work the pipeline should already have done. And it exports, so it lands in whatever the team actually works out of.","The filter is live - use it, do not just describe it. The export makes it a workflow rather than a poster.","If the multiselect is fiddly, type INV into the Search box instead - same effect, one action."
5:05,15,8 - CLOSE,Switch to the terminal tab showing 167 passed,Point at the pytest output,"All of it is asserted. 167 tests, offline and deterministic, no network and no API key - including the match rate and the precision and recall you just saw, which run as pass-fail CI gates on Python 3.10 through 3.12. The accuracy is not a claim in a README. It is a build failure if it regresses.",Ending on green tests is the strongest possible close. Accuracy gates in CI are rare in a hackathon build.,"If tests are not green, skip this and close on the exception queue with the same script minus the test count."
Q&A,-,BUFFER,-,Q: FAISS and the LLM found nothing. Is that a failure?,"No - it is the design succeeding. The cheap tiers cleared everything, so the expensive tiers had nothing left to adjudicate. On a noisier batch they engage, and the tier order guarantees they only ever cost you what the cheaper tiers could not solve. I would be worried if the LLM tier were carrying the batch.",Reframes the apparent hole as the thesis.,-
Q&A,-,BUFFER,-,"Q: The README says 12.5 seconds, you showed 0.05. Which is real?","Both, and the difference is honest: 12.5 seconds is loading the MiniLM sentence-transformer, not matching. With the offline hashing embedder it is under 50 milliseconds with byte-identical accuracy. The semantic tier is an exhaustive inner-product scan either way - the FAISS IndexFlatIP path and the numpy path return the same neighbours in the same order, and a test pins that equivalence rather than assuming it.",Do not hide the number. Explaining it is more impressive than the fast number alone.,-
Q&A,-,BUFFER,-,Q: Is this real data?,"Synthetic, seeded, and deliberately so - because the generator emits the ground-truth mapping it used to inject the noise, which is the only reason I can show you a measured precision instead of an asserted one. Same seed, byte-identical CSVs, every run. Swapping in real ledgers is a loader change in data_loader.py, not an engine change.",Turns the obvious objection into the reason the accuracy numbers are trustworthy.,-
Q&A,-,BUFFER,-,Q: What happens when the LLM hallucinates a match?,"It cannot produce one. The tier parses the verdict defensively - fenced code blocks and leading prose are both tolerated - then validates the returned id against the shortlist it actually offered and clamps the confidence into range. An invented id degrades to a no-match and lands in the exception queue. A wrong match is more costly than no match, and the code is written that way.",Have src/reconciler/matchers/llm_matcher.py open if you want to show parse_verdict.,-
Q&A,-,BUFFER,-,"Q: How do you add a fourth source, or a fifth tier?","A tier is one class implementing BaseMatcher.find_matches, added to the matchers list. The contract is: return only matches at or above your own threshold, and do not consume candidates for pairs you decline. A source is a schema, a loader, and a to_candidate adapter. Both are written up in the README under Extending.","Shows the architecture was designed for extension, not just assembled.",-
Q&A,-,BUFFER,-,Q: Why is triangle confidence the minimum of its edges?,"A chain is as strong as its weakest link. If the invoice-to-settlement edge is 0.99 and the settlement-to-bank edge is 0.62, the triangle is 0.62. Averaging would let a strong edge launder a weak one into looking trustworthy.","Small detail, but it signals the confidence model was reasoned about rather than averaged by default.",-
Q&A,-,BUFFER,-,Q: Why does an exception show a related record at 0.20 confidence?,"That is the near-miss reporter, and it runs only after all four tiers have declined. Its job is to be legible to a reviewer - shared 2 of 6 tokens, amount agrees - not to make a matching decision. It also scores against the full candidate pool, not just the leftovers, because the most useful hint is often that a record another invoice already claimed looks like yours. That points at a duplicate.",Nothing is dropped silently is the claim - this is the mechanism behind it.,-
